	SNP	Chromosome	Position	trait1
1	A3GALT2	1	33306784	0.844332490557135
2	AADACL3	1	12716256	0.729682934140625
3	AADACL4	1	12644584	1
4	ABCA4	1	93996119	0.348720953018823
5	ABCB10	1	229518200	0.407888348700264
6	ABCD3	1	94418483	0.146172434783423
7	ABL2	1	179107737	0.0462456368283855
8	ACADM	1	75724809	0.387936797012943
9	ACAP3	1	1293570	0.872961179724162
10	ACBD3	1	226146623	0.389481013280478
11	ACBD6	1	180288368	0.611676811664819
12	ACKR1	1	159204960	0.806500537055393
13	ACOT11	1	54548319	0.595177509404285
14	ACOT7	1	6264601	0.74441710867541
15	ACP6	1	147647432	0.195772185158511
16	ACTA1	1	229431534	0.0783251563040964
17	ACTL8	1	17823024	0.526510166225511
18	ACTN2	1	236686699	0.308974700386473
19	ACTRT2	1	3021688	0.664526669481428
20	ADAM15	1	155051387	0.216084974848655
21	ADAM30	1	119893988	0.905767642662443
22	ADAMTS4	1	161191047	0.709964202247951
23	ADAMTSL4	1	150552297	0.176767368956086
24	ADAR	1	154584908	0.153574519689813
25	ADCY10	1	167809695	0.772643685321733
26	ADGRB2	1	31727443	0.0688660624438227
27	ADGRL2	1	81836988	0.110825054939981
28	ADGRL4	1	78891160	0.674223739467887
29	ADIPOR1	1	202941611	0.0260060116213739
30	ADORA1	1	203128854	1
31	ADORA3	1	111499952	0.369447569171701
32	ADORA3;TMIGD3	1	111503009	0.760784685950588
33	ADPRHL2	1	36088918	0.0174604595281287
34	ADSS	1	244411301	0.409251892692149
35	AGBL4	1	48534181	0.820628867618064
36	AGL	1	99851051	0.480841186268092
37	AGMAT	1	15573687	0.221748896916901
38	AGO1	1	35883429	0.438330395281306
39	AGO3	1	35945740	0.159793698617856
40	AGO4	1	35808435	0.470733093245138
41	AGRN	1	1020176	0.518180027133149
42	AGT	1	230703157	0.150046684753472
43	AGTRAP	1	11736214	0.0757318868489441
44	AHCTF1	1	246840822	0.134863902862714
45	AHCYL1	1	109985075	0.732811346732729
46	AHDC1	1	27547318	0.37461200703756
47	AIDA	1	222669916	1
48	AIM2	1	159062693	0.882171195066776
49	AJAP1	1	4655450	0.830193473380407
50	AK2	1	33012119	0.789768095333921
51	AK4	1	65148444	0.799149368281905
52	AK5	1	77282314	0.153466065218532
53	AKIRIN1	1	38991414	0.114943411163002
54	AKNAD1	1	108816177	0.378743740870205
55	AKR1A1	1	45561799	0.560867601139625
56	AKR7A2	1	19304229	0.157099427351343
57	AKR7A3	1	19282735	0.11618072285792
58	ALDH4A1	1	18872856	0.663994688718085
59	ALDH9A1	1	165663112	0.826842165668631
60	ALG14	1	94983101	0.559268269982383
61	ALG6	1	63370979	0.511284780523807
62	ALPL	1	21554100	1
63	ALX3	1	110060756	0.532347215106886
64	AMIGO1	1	109507447	0.580401498928379
65	AMPD1	1	114673149	1
66	AMPD2	1	109620273	0.450086328539441
67	AMY1A;AMY1B;AMY1C	1	103660401	0.617195691665244
68	AMY2A	1	103617447	0.11879161016049
69	AMY2B	1	103571611	0.272430628431717
70	ANGEL2	1	212995117	0.628708455500036
71	ANGPTL1	1	178851132	0.201440632703833
72	ANGPTL3	1	62597584	0.845198084147803
73	ANGPTL7	1	11189592	0.0499451140102503
74	ANKRD13C	1	70262739	0.829699117860813
75	ANKRD34A	1	145960314	1
76	ANKRD35	1	145867344	0.290110071645259
77	ANKRD45	1	173610156	0.420536699179286
78	ANKRD65	1	1419108	0.467539014153406
79	ANP32E	1	150220697	0.678128407702998
80	ANXA9	1	150983107	0.800802931400053
81	AP4B1	1	113895074	0.875894532516296
82	APCS	1	159587931	0.228249828729744
83	APH1A	1	150266131	0.855930715677087
84	APOA2	1	161222424	0.574042960670158
85	APOBEC4	1	183647681	0.221284297142642
86	AQP10	1	154321156	0.671136963909318
87	ARF1	1	228097130	0.751608455872919
