SNP,Chromosome,Position,trait1
LRIG1,3,66380273,0.000154627924873973
ABLIM2,4,7966996,0.000170585453092009
CNOT1,16,58523500,0.000212806330325388
ASIP,20,34260466,0.000227502105316857
CMKLR1,12,108291851,0.000233308455533154
ZNF606,19,57978368,0.000242657646659761
AKT2,19,40233880,0.000277875780322678
FAR2,12,29270591,0.000303461824475937
LHCGR,2,48687746,0.00030456239576182
DNAAF1,16,84145451,0.000348947889871165
CPD,17,30379060,0.000374803595773021
NFAM1,22,42385192,0.000398987411365792
USP6,17,5130630,0.000406241706717325
PLA2G5,1,20084838,0.000411065370312325
TLDC2,20,36876190,0.000427890889061588
CRYBG2,1,26321973,0.000451696112943711
ATRN,20,3471073,0.000503191047931062
IL17RD,3,57096427,0.000508092057628806
RGS1,1,192575797,0.000511616598323772
KCTD6,3,58501099,0.000556247493763151
HSPA4,5,133052350,0.000563122333285371
CNOT6L,4,77720442,0.000575746315657599
TIMM29,19,10928823,0.000580649005366696
ACBD5,10,27204506,0.000587254647367308
GLI4,8,143269440,0.00063450567353629
PIGR,1,206930343,0.000642190893075045
ARRDC2,19,18001541,0.000687118561542133
LIN54,4,82928123,0.000699338257933224
KIF25,6,168030801,0.000708678977630828
CTNNAL1,9,108942827,0.000710108743274929
HAS1,19,51713446,0.000746122440834052
FBXO46,19,45711704,0.000758455249532219
WASHC5,8,125024635,0.000794243282166374
SLC52A1,17,5032983,0.000795295240079152
GRHPR,9,37422752,0.000824022335528474
BAIAP2,17,81057964,0.000827431011381496
MITD1,2,99169440,0.000836870397396883
LRRC32,11,76659636,0.000926995794792274
PTPRG,3,61562306,0.000932866483773553
GRM8,7,126446090,0.000970160120096208
NT5C3A,7,33014735,0.000980169252567498
KIFC3,16,57758901,0.000988798044289751
GTSE1,22,46297422,0.000997936326053828
TPRA1,3,127573543,0.000999531788524188
RARRES2,7,150338632,0.00102735591746239
UROS,10,125788966,0.00108747936148113
TMEM182,2,102762233,0.00109125585705128
HIST1H2BK,6,27146554,0.00109867035369582
CACNB4,2,151839133,0.00110717974642816
TMEM237,2,201624299,0.00113733367841928
MANEA,6,95586440,0.00117178634306769
GLB1L2,11,134332086,0.00117500465848708
ACAP1,17,7337321,0.00118576398313563
HSPG2,1,21823357,0.00121124602529643
ARHGEF2,1,155950412,0.00123604409156031
CPTP,1,1326947,0.00124164366926849
IL22RA2,6,137145641,0.00128053335021394
C3orf56,3,127196729,0.00143261211046075
ITIH1,3,52777628,0.00143913065348455
KLHL14,18,32677295,0.00146590020943949
CPT2,1,53196962,0.00147446309456811
TMEM115,3,50355356,0.00147745670545429
AKR1C1,10,4963511,0.00149341316229978
TGFBI,5,136029143,0.00157862917454554
AGPAT5,8,6708723,0.00160686207605965
CCDC97,19,41310320,0.00160709081489174
TIAM2,6,155129321,0.00164487934693991
CCDC188,22,20148677,0.00165406600024376
XRRA1,11,74843208,0.00166973711015839
BAIAP3,16,1334714,0.00169103476947341
OR1M1,19,9093246,0.00171156846084264
CC2D1A,19,13906455,0.00172686073977613
FYN,6,111661804,0.00175011341178855
PLCG1,20,41137682,0.00180098140683738
TJAP1,6,43499003,0.00180920729112888
LRIG2,1,113093252,0.00181254859224211
HYDIN,16,70807609,0.00183621913885723
KLF9,9,70387780,0.00184890158093232
KNG1,3,186717562,0.00187981071057197
MYOZ2,4,119136536,0.00188479032456734
TEX46,1,23010984,0.00189350730229787
ZNF75A,16,3308450,0.0019333623694705
PCMT1,6,149749730,0.00194437213633214
CATSPERE,1,244461437,0.00194461571883286
MCM10,10,13171059,0.00197303453198017
EPHA2,1,16125219,0.00199601584408182
PRSS38,1,227815735,0.00200835220705486
CRCP,7,66114851,0.00203789042864633
CLTC,17,59620135,0.0020596838925615
HEG1,3,124970663,0.0020763146418401
TRIM36,5,115126618,0.00210089382326772
SRGAP1,12,63984061,0.00210908781905095
TMEM249,8,144353326,0.00220122571918702
FAM25A,10,87020355,0.00220694746455696
RIMBP3,22,18606702,0.00226988340924772
EMC1,1,19219307,0.00229689012456502
PRICKLE2,3,64099228,0.00229755423780242
GDF1,19,18868625,0.00232485219924861
MROH1,8,144163842,0.00232525881061663
RNF32,7,156644510,0.00233609018632075
PFKFB4,3,48519781,0.00236074854144486
OR7G2,19,9102318,0.00236075852058915
NT5C,17,75130515,0.00240157571043043
ERMP1,9,5787152,0.0024093966338532
FLT3LG,19,49475702,0.00241229531770937
MFSD1,3,158802043,0.00243294416421236
C6orf203,6,107039758,0.00243476498597295
ABCE1,4,145104440,0.00243772480580506
MIS12,17,5488929,0.00246364147884903
FGD6,12,95084507,0.00246625927355515
CPNE4,3,131535302,0.00249775624961934
CLCN2,3,184346620,0.00249950651289454
HIST1H4C,6,26103948,0.00250715879457597
C11orf21,11,2299689,0.0025095843175964
B4GALT4,3,119212554,0.0025330033137847
KERA,12,91051467,0.00253583673968338
KRTAP10-10,21,44637580,0.00259120694974213
NEFM,8,24913795,0.00260350619298866
CRIP2,14,105473250,0.00261332164894368
SDCCAG3,9,136402805,0.00268545197927628
ANKRD30A,10,37125989,0.00268966963602191
NPTX1,17,80470914,0.00269131909008791
MEIG1,10,14966560,0.0027843511404233
MMP16,8,88041553,0.00280167971584511
GKN1,2,68974661,0.00280361995627365
GMFG,19,39328477,0.00281132402005213
PLK4,4,127881151,0.00282438203602264
IL17F,6,52236935,0.00286075234612004
ATAD5,17,30834152,0.00287201147411698
SLC4A9,5,140360394,0.00289672949490949
CEP70,3,138497294,0.00292172770250565
NAP1L5,4,88697279,0.00296933528041465
CSMD3,8,112224809,0.00305128031417479
OMA1,1,58480975,0.00319562893358205
ERBIN,5,65992810,0.00319574719219218
KBTBD4,11,47572934,0.00321244642669527
DHX8,17,43484048,0.00322258780422535
SULT1E1,4,69842007,0.00328983551727391
KRT79,12,52821874,0.00330405769340436
MPP6,7,24641800,0.00336541763899023
IGFBP7,4,57031325,0.00338423706275182
ADGRF4,6,47707271,0.00345573359817397
CCR8,3,39332334,0.00347599576777402
PPP1R3A,7,113877770,0.00356206914472479
FRMD1,6,168057251,0.00361489501105539
RAVER2,1,64745174,0.00362460477861226
MED1,17,39407486,0.00363073059758945
GPC6,13,93227476,0.00372560137192079
ANXA2,15,60347643,0.00375546056162146
STK3,8,98455936,0.00380680350314266
ASPHD1,16,29900991,0.00385407914444724
TMED3,15,79311250,0.00392206958345531
CXCR1,2,218164187,0.00399243407177441
E2F7,12,77024023,0.00401327614025981
MCRS1,12,49558651,0.00403541790545781
ZNF84,12,133048756,0.00403817413193086
UPK3B,7,76510696,0.0040949439472866
HIP1,7,75539331,0.00410327253943799
KRT15,17,41514663,0.00414141274956603
CERS1,19,18879008,0.00417651455125989
SAC3D1,11,65041308,0.00418479252359893
FSCN1,7,5593031,0.0042537510441476
