SNP,Chromosome,Position,trait1
IER2,19,13153187,1.89553632747863e-05
TNFRSF21,6,47232784,2.00828250391805e-05
DNAJC24,11,31370756,5.75921722042461e-05
MS4A4A,11,60280684,7.93886536870625e-05
GTPBP2,6,43621625,8.54411866193505e-05
ZKSCAN2,16,25239826,9.68394774579773e-05
PDE5A,4,119498608,0.00011324340294816
KCNE1,21,34449295,0.000164603607815561
MON1B,16,77191232,0.000191899716194044
KLHL3,5,137622118,0.000333860204205116
ZSCAN12,6,28390507,0.00036900315481192
FOLR2,11,72218609,0.000371712928249557
ECH1,19,38815613,0.000382421106660313
CCDC54,3,107377592,0.000411770119255306
FHAD1,1,15251806,0.000425709107341965
IGFBP3,7,45914852,0.000469902795163568
SV2B,15,91226303,0.000521654070147592
AIG1,6,143060944,0.000639418681070092
HGC6.3,6,167976138,0.000644802158701774
ZFP14,19,36340255,0.000652428239963587
SEC16B,1,177929865,0.000664188164025581
RNF152,18,61815866,0.00067079948387172
PABPC4,1,39561706,0.000703792040385398
OR52J3,11,5046544,0.000722130861514958
TRABD,22,50193086,0.000840593490444963
ADGRF2,6,47673420,0.000859694168097946
ARL16,17,81681716,0.000879009379464279
DNTTIP2,1,93870695,0.000979182725728611
LOC388282,16,57810711,0.000996561247010419
USP38,4,143185463,0.00103734296177993
FAM240A,3,46612675,0.00104121017285197
SLC30A10,1,219915459,0.00106280474491582
GNG2,14,51950697,0.00111409773319593
CDH12,5,21751763,0.00113843429530114
VRK2,2,58048864,0.00115593356780797
TMEM144,4,158212675,0.00120208319125803
LIN7A,12,80811469,0.00130010624635968
FBXL3,13,77007161,0.00133990011275786
HIST1H2BK,6,27146423,0.00138562260793418
MSRB2,10,23095609,0.00141033506610122
GABRA6,5,161685994,0.0015803120690584
BBS4,15,72686229,0.00158175975296915
CCDC170,6,151494129,0.00158562662506834
OR2T34,1,248573824,0.0015952846769951
SLC25A48,5,135834848,0.00161960458224286
BAG3,10,119651693,0.00162294520238959
CYB5R1,1,202962532,0.0016407346368742
DYNLT1,6,158636832,0.00164145934334048
ELOVL5,6,53269137,0.0016453874983785
CLIC6,21,34669389,0.00167971187946536
OSR1,2,19352280,0.00170485988104085
VPS35,16,46660503,0.00172160788083808
DGCR8,22,20085989,0.00181718977631895
ABTB1,3,127673027,0.0018764858938416
ENG,9,127815689,0.00191528245252914
FAM177A1,14,35046474,0.00192571904377303
NFATC3,16,68085708,0.00202827208870415
ZNF219,14,21090541,0.00208157579546953
PLIN3,19,4839194,0.002082417656594
RYR3,15,33311056,0.00210172889236782
TMEM170B,6,11538299,0.00213315279129112
C14orf177,14,98716196,0.00223357838452776
SEMA6D,15,47759824,0.00224603201973239
ACAT1,11,108121607,0.00226749066475584
DENND4A,15,65661876,0.00231849519864447
PP2D1,3,19985384,0.00234061371585692
KCNMB3,3,179240000,0.00237999828073365
DLX6,7,97006015,0.00240287167258424
FLT4,5,180603218,0.00253512174093262
NKX6-3,8,41646460,0.002547491215936
ATL2,2,38295994,0.00255111942188169
SLC35A5,3,112563404,0.0026177288995789
EML1,14,99793477,0.00263539457527728
FEZF2,3,62370298,0.00272342546275828
EPB42,15,43197317,0.00272381120841048
ATP6V1F,7,128862906,0.00274995704189362
STT3B,3,31533026,0.00275194644904775
ANGPTL2,9,127088959,0.0027931615743868
IFNL1,19,39296423,0.00280984779182369
ARL6IP4,12,122980206,0.0028231072947339
UROC1,3,126482368,0.0028289896100715
TUB,11,8038880,0.00294538181771509
ZNF114,19,48282375,0.00301772190415006
